action,template,submitted_in_sitemap_now,canonical_target_becomes,hold_reason
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/cape-coral/cape-coral-13ct-license/,https://www.liquorlicenseagents.com/cities/cape-coral-13ct-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/cape-coral/cape-coral-2aps-license/,https://www.liquorlicenseagents.com/cities/cape-coral-2aps-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/cape-coral/cape-coral-2cop-license/,https://www.liquorlicenseagents.com/cities/cape-coral-2cop-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/cape-coral/cape-coral-3ps-quota-license/,https://www.liquorlicenseagents.com/cities/cape-coral-3ps-quota-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/cape-coral/cape-coral-4cop-quota-license/,https://www.liquorlicenseagents.com/cities/cape-coral-4cop-quota-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/cape-coral/cape-coral-4cop-sfs-license/,https://www.liquorlicenseagents.com/cities/cape-coral-4cop-sfs-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/cape-coral/cape-coral-cmb-license/,https://www.liquorlicenseagents.com/cities/cape-coral-cmb-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/cape-coral/cape-coral-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/cape-coral-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/carlsbad/carlsbad-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/carlsbad-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/carpinteria/carpinteria-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/carpinteria-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/carson/carson-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/carson-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/cerritos/cerritos-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/cerritos-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/chandler/chandler-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/chandler-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/chandler/chandler-series-1-license/,https://www.liquorlicenseagents.com/cities/chandler-series-1-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/chandler/chandler-series-10-license/,https://www.liquorlicenseagents.com/cities/chandler-series-10-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/chandler/chandler-series-11-license/,https://www.liquorlicenseagents.com/cities/chandler-series-11-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/chandler/chandler-series-12-license/,https://www.liquorlicenseagents.com/cities/chandler-series-12-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/chandler/chandler-series-6-license/,https://www.liquorlicenseagents.com/cities/chandler-series-6-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/chandler/chandler-series-7-license/,https://www.liquorlicenseagents.com/cities/chandler-series-7-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/chandler/chandler-series-9-license/,https://www.liquorlicenseagents.com/cities/chandler-series-9-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/chino-hills/chino-hills-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/chino-hills-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/chino-hills/chino-hills-type-20-license/,https://www.liquorlicenseagents.com/cities/chino-hills-type-20-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/chino-hills/chino-hills-type-21-license/,https://www.liquorlicenseagents.com/cities/chino-hills-type-21-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/chino-hills/chino-hills-type-41-license/,https://www.liquorlicenseagents.com/cities/chino-hills-type-41-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/chino-hills/chino-hills-type-47-license/,https://www.liquorlicenseagents.com/cities/chino-hills-type-47-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/chino-hills/chino-hills-type-48-license/,https://www.liquorlicenseagents.com/cities/chino-hills-type-48-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/chino-hills/chino-hills-type-57-license/,https://www.liquorlicenseagents.com/cities/chino-hills-type-57-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/chino-hills/chino-hills-type-61-license/,https://www.liquorlicenseagents.com/cities/chino-hills-type-61-license/,""
HOLD,city-detail,https://www.liquorlicenseagents.com/cities/chula-vista/chula-vista-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/chula-vista-liquor-licenses-for-restaurants-bars-and-retailers/,"target 301s to /cities/chula-vista/chula-vista-type-61-license/"
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/chula-vista/chula-vista-type-20-license/,https://www.liquorlicenseagents.com/cities/chula-vista-type-20-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/chula-vista/chula-vista-type-21-license/,https://www.liquorlicenseagents.com/cities/chula-vista-type-21-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/chula-vista/chula-vista-type-41-license/,https://www.liquorlicenseagents.com/cities/chula-vista-type-41-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/chula-vista/chula-vista-type-47-license/,https://www.liquorlicenseagents.com/cities/chula-vista-type-47-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/chula-vista/chula-vista-type-48-license/,https://www.liquorlicenseagents.com/cities/chula-vista-type-48-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/chula-vista/chula-vista-type-57-license/,https://www.liquorlicenseagents.com/cities/chula-vista-type-57-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/chula-vista/chula-vista-type-61-license/,https://www.liquorlicenseagents.com/cities/chula-vista-type-61-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/claremont/claremont-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/claremont-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/commerce/commerce-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/commerce-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/compton/compton-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/compton-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/compton/compton-type-20-license/,https://www.liquorlicenseagents.com/cities/compton-type-20-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/compton/compton-type-21-license/,https://www.liquorlicenseagents.com/cities/compton-type-21-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/compton/compton-type-41-license/,https://www.liquorlicenseagents.com/cities/compton-type-41-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/compton/compton-type-47-license/,https://www.liquorlicenseagents.com/cities/compton-type-47-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/compton/compton-type-48-license/,https://www.liquorlicenseagents.com/cities/compton-type-48-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/compton/compton-type-57-license/,https://www.liquorlicenseagents.com/cities/compton-type-57-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/compton/compton-type-61-license/,https://www.liquorlicenseagents.com/cities/compton-type-61-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/concord/concord-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/concord-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/coronado/coronado-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/coronado-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/costa-mesa/costa-mesa-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/costa-mesa-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/covina/covina-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/covina-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/cudahy/cudahy-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/cudahy-liquor-licenses-for-restaurants-bars-and-retailers/,""
HOLD,city-detail,https://www.liquorlicenseagents.com/cities/culver-city/culver-city-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/culver-city-liquor-licenses-for-restaurants-bars-and-retailers/,"target 301s back to this same nested URL — repointing creates a loop"
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/cypress/cypress-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/cypress-liquor-licenses-for-restaurants-bars-and-retailers/,""
HOLD,city-detail,https://www.liquorlicenseagents.com/cities/daly-city/daly-city-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/daly-city-liquor-licenses-for-restaurants-bars-and-retailers/,"target 301s back to this same nested URL — repointing creates a loop"
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/dana-point/dana-point-liquor-licenses-for-restaurants-bars-and-retailers-1/,https://www.liquorlicenseagents.com/cities/dana-point-liquor-licenses-for-restaurants-bars-and-retailers-1/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/dana-point/dana-point-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/dana-point-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/del-mar/del-mar-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/del-mar-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/diamond-bar/diamond-bar-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/diamond-bar-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/downey/downey-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/downey-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/duarte/duarte-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/duarte-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/el-cajon/el-cajon-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/el-cajon-liquor-licenses-for-restaurants-bars-and-retailers/,""
HOLD,city-detail,https://www.liquorlicenseagents.com/cities/el-monte/el-monte-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/el-monte-liquor-licenses-for-restaurants-bars-and-retailers/,"target 301s back to this same nested URL — repointing creates a loop"
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/el-monte/el-monte-type-20-license/,https://www.liquorlicenseagents.com/cities/el-monte-type-20-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/el-monte/el-monte-type-21-license/,https://www.liquorlicenseagents.com/cities/el-monte-type-21-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/el-monte/el-monte-type-41-license/,https://www.liquorlicenseagents.com/cities/el-monte-type-41-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/el-monte/el-monte-type-47-license/,https://www.liquorlicenseagents.com/cities/el-monte-type-47-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/el-monte/el-monte-type-48-license/,https://www.liquorlicenseagents.com/cities/el-monte-type-48-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/el-monte/el-monte-type-57-license/,https://www.liquorlicenseagents.com/cities/el-monte-type-57-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/el-monte/el-monte-type-61-license/,https://www.liquorlicenseagents.com/cities/el-monte-type-61-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/el-segundo/el-segundo-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/el-segundo-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/elk-grove/elk-grove-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/elk-grove-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/encinitas/encinitas-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/encinitas-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/encinitas/encinitas-type-20-license/,https://www.liquorlicenseagents.com/cities/encinitas-type-20-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/encinitas/encinitas-type-21-license/,https://www.liquorlicenseagents.com/cities/encinitas-type-21-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/encinitas/encinitas-type-41-license/,https://www.liquorlicenseagents.com/cities/encinitas-type-41-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/encinitas/encinitas-type-47-license/,https://www.liquorlicenseagents.com/cities/encinitas-type-47-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/encinitas/encinitas-type-48-license/,https://www.liquorlicenseagents.com/cities/encinitas-type-48-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/encinitas/encinitas-type-57-license/,https://www.liquorlicenseagents.com/cities/encinitas-type-57-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/encinitas/encinitas-type-61-license/,https://www.liquorlicenseagents.com/cities/encinitas-type-61-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/escondido/escondido-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/escondido-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/escondido/escondido-type-20-license/,https://www.liquorlicenseagents.com/cities/escondido-type-20-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/escondido/escondido-type-21-license/,https://www.liquorlicenseagents.com/cities/escondido-type-21-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/escondido/escondido-type-41-license/,https://www.liquorlicenseagents.com/cities/escondido-type-41-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/escondido/escondido-type-47-license/,https://www.liquorlicenseagents.com/cities/escondido-type-47-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/escondido/escondido-type-48-license/,https://www.liquorlicenseagents.com/cities/escondido-type-48-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/escondido/escondido-type-57-licens/,https://www.liquorlicenseagents.com/cities/escondido-type-57-licens/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/escondido/escondido-type-61-license/,https://www.liquorlicenseagents.com/cities/escondido-type-61-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/fontana/fontana-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/fontana-liquor-licenses-for-restaurants-bars-and-retailers/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/fort-lauderdale/fort-lauderdale-13ct-license/,https://www.liquorlicenseagents.com/cities/fort-lauderdale-13ct-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/fort-lauderdale/fort-lauderdale-2aps-license/,https://www.liquorlicenseagents.com/cities/fort-lauderdale-2aps-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/fort-lauderdale/fort-lauderdale-2cop-license/,https://www.liquorlicenseagents.com/cities/fort-lauderdale-2cop-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/fort-lauderdale/fort-lauderdale-3ps-quota-license/,https://www.liquorlicenseagents.com/cities/fort-lauderdale-3ps-quota-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/fort-lauderdale/fort-lauderdale-4cop-quota-license/,https://www.liquorlicenseagents.com/cities/fort-lauderdale-4cop-quota-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/fort-lauderdale/fort-lauderdale-4cop-sfs-license/,https://www.liquorlicenseagents.com/cities/fort-lauderdale-4cop-sfs-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/fort-lauderdale/fort-lauderdale-cmb-license/,https://www.liquorlicenseagents.com/cities/fort-lauderdale-cmb-license/,""
REPOINT,city-detail,https://www.liquorlicenseagents.com/cities/fort-lauderdale/fort-lauderdale-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/fort-lauderdale-liquor-licenses-for-restaurants-bars-and-retailers/,""
HOLD,city-detail,https://www.liquorlicenseagents.com/cities/fountain-valley/fountain-valley-liquor-licenses-for-restaurants-bars-and-retailers/,https://www.liquorlicenseagents.com/cities/fountain-valley-liquor-licenses-for-restaurants-bars-and-retailers/,"target 301s back to this same nested URL — repointing creates a loop"
